                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0595,                 2.4028,                 1.8728,                0.38809,                0.34265,                0.30042,                0.09827,                 2.1877,                  2.412,                 1.8935,             0.00066493,             0.00066493,             0.00066493
                      2,                 2.0409,                 2.1608,                 1.8925,                 0.3799,                0.41343,                0.33811,                0.12272,                 1.9953,                 2.2641,                 1.9067,              0.0012986,              0.0012986,              0.0012986
                      3,                 2.0396,                 2.1207,                 1.8998,                0.40003,                0.35181,                0.32769,                0.12072,                 2.1188,                 2.2406,                 2.0679,              0.0018993,              0.0018993,              0.0018993
                      4,                 2.0133,                 2.0649,                 1.8795,                0.49678,                0.43756,                0.43514,                0.16537,                 2.0032,                 1.9394,                 1.9033,              0.0018515,              0.0018515,              0.0018515
                      5,                 1.9802,                 2.0338,                 1.8652,                0.49309,                0.46462,                0.44361,                0.16129,                 2.0054,                  1.982,                  1.822,               0.001802,               0.001802,               0.001802
                      6,                 1.9632,                 1.9918,                 1.8352,                0.51362,                0.49201,                0.47903,                 0.1827,                 1.9413,                 1.9568,                   1.85,              0.0017525,              0.0017525,              0.0017525
                      7,                 1.9477,                 1.9595,                 1.8144,                0.50053,                0.47476,                 0.4589,                 0.1889,                 1.9213,                 1.9007,                  1.838,               0.001703,               0.001703,               0.001703
                      8,                 1.9292,                 1.9158,                  1.801,                0.50626,                0.49479,                0.47828,                0.19224,                 1.9158,                 1.8152,                 1.8239,              0.0016535,              0.0016535,              0.0016535
                      9,                 1.9168,                 1.9111,                 1.8029,                0.54562,                0.51516,                0.51581,                0.21055,                 1.8796,                 1.8101,                 1.7956,               0.001604,               0.001604,               0.001604
                     10,                 1.9066,                 1.8795,                 1.8014,                0.50273,                 0.5106,                0.48756,                0.19357,                 1.8989,                 1.7992,                 1.8291,              0.0015545,              0.0015545,              0.0015545
                     11,                 1.8987,                  1.861,                 1.7939,                0.48775,                0.49755,                0.46301,                0.18733,                 1.8802,                 1.8242,                 1.8353,               0.001505,               0.001505,               0.001505
                     12,                 1.8804,                 1.8305,                 1.7686,                0.52479,                0.48908,                0.49142,                0.20231,                 1.8852,                 1.7908,                 1.7572,              0.0014555,              0.0014555,              0.0014555
                     13,                 1.8755,                 1.7948,                 1.7643,                0.54464,                0.51549,                0.52186,                0.21417,                 1.9062,                  1.741,                 1.8201,               0.001406,               0.001406,               0.001406
                     14,                 1.8653,                 1.7974,                  1.761,                0.54915,                0.52494,                0.51635,                0.20896,                 1.9344,                 1.6914,                  1.807,              0.0013565,              0.0013565,              0.0013565
                     15,                 1.8472,                  1.772,                 1.7382,                0.57087,                0.51659,                0.54562,                 0.2251,                  1.925,                 1.6795,                 1.8281,               0.001307,               0.001307,               0.001307
                     16,                 1.8426,                 1.7495,                 1.7474,                0.55909,                0.54092,                0.54879,                 0.2283,                 1.8955,                 1.6697,                 1.7941,              0.0012575,              0.0012575,              0.0012575
                     17,                  1.834,                 1.7357,                 1.7411,                0.57967,                0.54255,                0.56186,                0.23536,                 1.8964,                 1.6308,                  1.782,               0.001208,               0.001208,               0.001208
                     18,                 1.8268,                 1.7131,                 1.7348,                0.59424,                0.53004,                 0.5562,                0.23551,                 1.8797,                 1.6501,                 1.7991,              0.0011585,              0.0011585,              0.0011585
                     19,                 1.8198,                 1.7053,                 1.7348,                0.57883,                 0.5655,                0.58141,                0.24849,                 1.8505,                 1.6136,                 1.7522,               0.001109,               0.001109,               0.001109
                     20,                 1.8017,                 1.6704,                 1.7151,                0.56828,                0.54157,                 0.5461,                0.22964,                 1.9225,                 1.6332,                  1.838,              0.0010595,              0.0010595,              0.0010595
                     21,                 1.7961,                 1.6591,                 1.7136,                0.57802,                0.55156,                0.56909,                0.23461,                 1.9193,                 1.6091,                 1.8076,                0.00101,                0.00101,                0.00101
                     22,                 1.7801,                 1.6367,                 1.6986,                0.60825,                0.54222,                0.59221,                0.25224,                 1.8693,                   1.57,                 1.7842,              0.0009605,              0.0009605,              0.0009605
                     23,                 1.7843,                 1.6283,                 1.6993,                0.59163,                0.55037,                0.57086,                0.23934,                 1.8936,                  1.596,                 1.7816,               0.000911,               0.000911,               0.000911
                     24,                  1.765,                 1.6118,                 1.6887,                0.58014,                0.55918,                0.58326,                0.24896,                 1.8658,                 1.5756,                 1.7712,              0.0008615,              0.0008615,              0.0008615
                     25,                 1.7508,                 1.5746,                 1.6742,                0.60436,                0.57026,                0.60423,                0.26266,                 1.8599,                 1.5128,                  1.744,               0.000812,               0.000812,               0.000812
                     26,                 1.7496,                 1.5613,                 1.6733,                0.58733,                0.55298,                0.58432,                0.25039,                 1.8617,                 1.5562,                 1.7844,              0.0007625,              0.0007625,              0.0007625
                     27,                 1.7354,                 1.5466,                  1.669,                0.63119,                0.56048,                  0.605,                0.26467,                 1.8656,                 1.5164,                 1.7859,               0.000713,               0.000713,               0.000713
                     28,                 1.7293,                 1.5279,                 1.6588,                 0.6232,                0.57548,                0.60683,                0.26472,                  1.886,                 1.4915,                 1.7714,              0.0006635,              0.0006635,              0.0006635
                     29,                 1.7238,                 1.5192,                 1.6518,                0.59108,                0.53962,                0.57097,                 0.2437,                 1.9001,                 1.5362,                 1.7795,               0.000614,               0.000614,               0.000614
                     30,                 1.7098,                 1.5015,                 1.6495,                 0.6146,                0.56363,                0.60118,                0.26235,                 1.8793,                 1.4941,                 1.7835,              0.0005645,              0.0005645,              0.0005645
                     31,                 1.7117,                  1.427,                 1.6728,                0.61238,                0.56472,                0.60065,                  0.261,                 1.8886,                 1.4917,                  1.772,               0.000515,               0.000515,               0.000515
                     32,                 1.6901,                 1.3692,                 1.6638,                0.61221,                0.58265,                0.60771,                0.26652,                  1.884,                  1.466,                 1.7859,              0.0004655,              0.0004655,              0.0004655
                     33,                 1.6721,                 1.3417,                 1.6512,                0.63768,                0.57092,                0.61721,                0.27279,                 1.8741,                 1.4438,                 1.7789,               0.000416,               0.000416,               0.000416
                     34,                 1.6503,                 1.3202,                  1.639,                0.62261,                0.56482,                0.59857,                0.25971,                 1.8827,                  1.474,                 1.7777,              0.0003665,              0.0003665,              0.0003665
                     35,                 1.6411,                 1.2836,                 1.6312,                0.63035,                0.57385,                0.61676,                0.26686,                 1.8972,                  1.446,                 1.7998,               0.000317,               0.000317,               0.000317
                     36,                 1.6193,                 1.2617,                  1.619,                0.64538,                0.58233,                0.62866,                0.27879,                 1.8835,                 1.4088,                 1.7842,              0.0002675,              0.0002675,              0.0002675
                     37,                 1.6049,                  1.249,                 1.6078,                0.64747,                0.57092,                0.62597,                0.27318,                 1.9001,                 1.4125,                 1.7979,               0.000218,               0.000218,               0.000218
                     38,                 1.5943,                 1.2304,                 1.6026,                0.64281,                0.58233,                 0.6236,                0.27552,                  1.908,                 1.4145,                 1.8164,              0.0001685,              0.0001685,              0.0001685
                     39,                  1.576,                 1.2079,                 1.5874,                0.65413,                0.57349,                0.62474,                0.27793,                 1.9059,                 1.4051,                 1.8153,               0.000119,               0.000119,               0.000119
                     40,                 1.5753,                 1.2019,                 1.5872,                0.64322,                0.59341,                0.62421,                0.27667,                 1.9069,                 1.4012,                 1.8139,               6.95e-05,               6.95e-05,               6.95e-05
